source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0015746,citrate transport,0.04605609920737766,True,"""The directed movement of citrate, 2-hydroxy-1,2,3-propanetricarboxylate, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:krc]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,['GO:0006842']
GO:BP,GO:0035378,carbon dioxide transmembrane transport,0.04605609920737766,True,"""The process in which carbon dioxide (CO2) is transported across a membrane."" [GOC:yaf]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0015670', 'GO:0055085']"
GO:BP,GO:0036101,leukotriene B4 catabolic process,0.04605609920737766,True,"""The chemical reactions and pathways resulting in the breakdown of leukotriene B4, a leukotriene composed of (6Z,8E,10E,14Z)-eicosatetraenoic acid having (5S)- and (12R)-hydroxy substituents."" [GOC:yaf, PMID:9799565]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0036100', 'GO:0036102', 'GO:0042758', 'GO:1901523']"
GO:BP,GO:0033603,positive regulation of dopamine secretion,0.04605609920737766,True,"""Any process that activates or increases the frequency, rate or extent of the regulated release of dopamine."" [GOC:sl]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0014046', 'GO:0014059', 'GO:0033605']"
GO:BP,GO:0060298,positive regulation of sarcomere organization,0.04605609920737766,True,"""Any process that increases the rate, frequency or extent of myofibril assembly by organization of muscle actomyosin into sarcomeres. The sarcomere is the repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."" [GOC:BHF, GOC:dph, GOC:tb]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0045214', 'GO:0051155', 'GO:0051495', 'GO:0060297', 'GO:1902905']"
GO:BP,GO:0050914,sensory perception of salty taste,0.04605609920737766,True,"""The series of events required to receive a salty taste stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."" [GOC:ai]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,['GO:0050909']
GO:BP,GO:0050923,regulation of negative chemotaxis,0.04605609920737766,True,"""Any process that modulates the frequency, rate or extent of the directed movement of a motile cell or organism towards a lower concentration in a concentration gradient of a specific chemical."" [GOC:ai]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0050919', 'GO:0050920']"
GO:BP,GO:0061217,regulation of mesonephros development,0.04605609920737766,True,"""Any process that modulates the rate, frequency or extent of mesonephros development. Mesonephros development is the process whose specific outcome is the progression of the mesonephros over time, from its formation to the mature structure. The mesonephros is an endocrine and metabolic organ that filters the blood and excretes the end products of body metabolism in the form of urine."" [GOC:mtg_kidney_jan10]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0001823', 'GO:0090183']"
GO:BP,GO:0046865,terpenoid transport,0.04605609920737766,True,"""The directed movement of terpenoids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Terpenoids are a class of compounds characterized by an isoprenoid chemical structure and include derivatives with various functional groups."" [GOC:ai]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,['GO:0046864']
GO:BP,GO:0070634,transepithelial ammonium transport,0.04605609920737766,True,"""The directed movement of ammonium ions from one side of an epithelium to the other."" [GOC:mah, GOC:yaf]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0070633', 'GO:0071705']"
GO:BP,GO:0044068,symbiont-mediated perturbation of host cellular process,0.04605609920737766,True,"""A process in which a symbiont alters or subverts a cellular biological process in its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction."" [MITRE:tk]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,['GO:0044003']
GO:BP,GO:0042421,norepinephrine biosynthetic process,0.04605609920737766,True,"""The chemical reactions and pathways resulting in the formation of norepinephrine, a hormone secreted by the adrenal medulla, and a neurotransmitter in the sympathetic peripheral nervous system and in some tracts in the central nervous system. It is also the demethylated biosynthetic precursor of epinephrine."" [GOC:jl, ISBN:0198506732]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0042415', 'GO:0042423']"
